date,nav,scheme_name
01-06-2026,163.71320,UTI Nifty 50 Index Fund - Growth Option- Direct
29-05-2026,164.86820,UTI Nifty 50 Index Fund - Growth Option- Direct
27-05-2026,167.35450,UTI Nifty 50 Index Fund - Growth Option- Direct
26-05-2026,167.40080,UTI Nifty 50 Index Fund - Growth Option- Direct
25-05-2026,168.22630,UTI Nifty 50 Index Fund - Growth Option- Direct
22-05-2026,165.98580,UTI Nifty 50 Index Fund - Growth Option- Direct
21-05-2026,165.46650,UTI Nifty 50 Index Fund - Growth Option- Direct
20-05-2026,165.49710,UTI Nifty 50 Index Fund - Growth Option- Direct
19-05-2026,165.21130,UTI Nifty 50 Index Fund - Growth Option- Direct
18-05-2026,165.43510,UTI Nifty 50 Index Fund - Growth Option- Direct
15-05-2026,165.39210,UTI Nifty 50 Index Fund - Growth Option- Direct
14-05-2026,165.60520,UTI Nifty 50 Index Fund - Growth Option- Direct
13-05-2026,163.66960,UTI Nifty 50 Index Fund - Growth Option- Direct
12-05-2026,163.43900,UTI Nifty 50 Index Fund - Growth Option- Direct
11-05-2026,166.48940,UTI Nifty 50 Index Fund - Growth Option- Direct
08-05-2026,169.01070,UTI Nifty 50 Index Fund - Growth Option- Direct
07-05-2026,170.06370,UTI Nifty 50 Index Fund - Growth Option- Direct
06-05-2026,170.09480,UTI Nifty 50 Index Fund - Growth Option- Direct
05-05-2026,168.01270,UTI Nifty 50 Index Fund - Growth Option- Direct
04-05-2026,168.61840,UTI Nifty 50 Index Fund - Growth Option- Direct
30-04-2026,167.77110,UTI Nifty 50 Index Fund - Growth Option- Direct
29-04-2026,169.03070,UTI Nifty 50 Index Fund - Growth Option- Direct
28-04-2026,167.76010,UTI Nifty 50 Index Fund - Growth Option- Direct
27-04-2026,168.43870,UTI Nifty 50 Index Fund - Growth Option- Direct
24-04-2026,167.08010,UTI Nifty 50 Index Fund - Growth Option- Direct
23-04-2026,168.96560,UTI Nifty 50 Index Fund - Growth Option- Direct
22-04-2026,170.39960,UTI Nifty 50 Index Fund - Growth Option- Direct
21-04-2026,171.78820,UTI Nifty 50 Index Fund - Growth Option- Direct
20-04-2026,170.30890,UTI Nifty 50 Index Fund - Growth Option- Direct
17-04-2026,170.23220,UTI Nifty 50 Index Fund - Growth Option- Direct
16-04-2026,169.13730,UTI Nifty 50 Index Fund - Growth Option- Direct
15-04-2026,169.37980,UTI Nifty 50 Index Fund - Growth Option- Direct
13-04-2026,166.66520,UTI Nifty 50 Index Fund - Growth Option- Direct
10-04-2026,168.12130,UTI Nifty 50 Index Fund - Growth Option- Direct
09-04-2026,166.19680,UTI Nifty 50 Index Fund - Growth Option- Direct
08-04-2026,167.75130,UTI Nifty 50 Index Fund - Growth Option- Direct
07-04-2026,161.64670,UTI Nifty 50 Index Fund - Growth Option- Direct
06-04-2026,160.55730,UTI Nifty 50 Index Fund - Growth Option- Direct
02-04-2026,158.77890,UTI Nifty 50 Index Fund - Growth Option- Direct
01-04-2026,158.54490,UTI Nifty 50 Index Fund - Growth Option- Direct
31-03-2026,156.11600,UTI Nifty 50 Index Fund - Growth Option- Direct
30-03-2026,156.11660,UTI Nifty 50 Index Fund - Growth Option- Direct
27-03-2026,159.52910,UTI Nifty 50 Index Fund - Growth Option- Direct
25-03-2026,162.93530,UTI Nifty 50 Index Fund - Growth Option- Direct
24-03-2026,160.18190,UTI Nifty 50 Index Fund - Growth Option- Direct
23-03-2026,157.39080,UTI Nifty 50 Index Fund - Growth Option- Direct
20-03-2026,161.60640,UTI Nifty 50 Index Fund - Growth Option- Direct
19-03-2026,160.82180,UTI Nifty 50 Index Fund - Growth Option- Direct
18-03-2026,166.24570,UTI Nifty 50 Index Fund - Growth Option- Direct
17-03-2026,164.87220,UTI Nifty 50 Index Fund - Growth Option- Direct
16-03-2026,163.66840,UTI Nifty 50 Index Fund - Growth Option- Direct
13-03-2026,161.86890,UTI Nifty 50 Index Fund - Growth Option- Direct
12-03-2026,165.28130,UTI Nifty 50 Index Fund - Growth Option- Direct
11-03-2026,166.87420,UTI Nifty 50 Index Fund - Growth Option- Direct
10-03-2026,169.63520,UTI Nifty 50 Index Fund - Growth Option- Direct
09-03-2026,168.00440,UTI Nifty 50 Index Fund - Growth Option- Direct
06-03-2026,170.95990,UTI Nifty 50 Index Fund - Growth Option- Direct
05-03-2026,173.15380,UTI Nifty 50 Index Fund - Growth Option- Direct
04-03-2026,171.16000,UTI Nifty 50 Index Fund - Growth Option- Direct
02-03-2026,173.85360,UTI Nifty 50 Index Fund - Growth Option- Direct
27-02-2026,176.04380,UTI Nifty 50 Index Fund - Growth Option- Direct
26-02-2026,178.26520,UTI Nifty 50 Index Fund - Growth Option- Direct
25-02-2026,178.16820,UTI Nifty 50 Index Fund - Growth Option- Direct
24-02-2026,177.76520,UTI Nifty 50 Index Fund - Growth Option- Direct
23-02-2026,179.78080,UTI Nifty 50 Index Fund - Growth Option- Direct
20-02-2026,178.79250,UTI Nifty 50 Index Fund - Growth Option- Direct
19-02-2026,177.97710,UTI Nifty 50 Index Fund - Growth Option- Direct
18-02-2026,180.52800,UTI Nifty 50 Index Fund - Growth Option- Direct
17-02-2026,179.85360,UTI Nifty 50 Index Fund - Growth Option- Direct
16-02-2026,179.55660,UTI Nifty 50 Index Fund - Growth Option- Direct
13-02-2026,178.07850,UTI Nifty 50 Index Fund - Growth Option- Direct
12-02-2026,180.42830,UTI Nifty 50 Index Fund - Growth Option- Direct
11-02-2026,181.45390,UTI Nifty 50 Index Fund - Growth Option- Direct
10-02-2026,181.32440,UTI Nifty 50 Index Fund - Growth Option- Direct
09-02-2026,180.85120,UTI Nifty 50 Index Fund - Growth Option- Direct
06-02-2026,179.61890,UTI Nifty 50 Index Fund - Growth Option- Direct
05-02-2026,179.23690,UTI Nifty 50 Index Fund - Growth Option- Direct
04-02-2026,180.15030,UTI Nifty 50 Index Fund - Growth Option- Direct
03-02-2026,179.81290,UTI Nifty 50 Index Fund - Growth Option- Direct
02-02-2026,175.34930,UTI Nifty 50 Index Fund - Growth Option- Direct
30-01-2026,176.97470,UTI Nifty 50 Index Fund - Growth Option- Direct
29-01-2026,177.66200,UTI Nifty 50 Index Fund - Growth Option- Direct
28-01-2026,177.13120,UTI Nifty 50 Index Fund - Growth Option- Direct
27-01-2026,175.96280,UTI Nifty 50 Index Fund - Growth Option- Direct
23-01-2026,175.08180,UTI Nifty 50 Index Fund - Growth Option- Direct
22-01-2026,176.76840,UTI Nifty 50 Index Fund - Growth Option- Direct
21-01-2026,175.84460,UTI Nifty 50 Index Fund - Growth Option- Direct
20-01-2026,176.36950,UTI Nifty 50 Index Fund - Growth Option- Direct
19-01-2026,178.83670,UTI Nifty 50 Index Fund - Growth Option- Direct
16-01-2026,179.60020,UTI Nifty 50 Index Fund - Growth Option- Direct
14-01-2026,179.29310,UTI Nifty 50 Index Fund - Growth Option- Direct
13-01-2026,179.76020,UTI Nifty 50 Index Fund - Growth Option- Direct
12-01-2026,180.16590,UTI Nifty 50 Index Fund - Growth Option- Direct
09-01-2026,179.42180,UTI Nifty 50 Index Fund - Growth Option- Direct
08-01-2026,180.77540,UTI Nifty 50 Index Fund - Growth Option- Direct
