date,nav,scheme_name
01-06-2026,218.88200,HDFC Mid Cap Fund - Growth Option - Direct Plan
29-05-2026,221.32200,HDFC Mid Cap Fund - Growth Option - Direct Plan
27-05-2026,223.58500,HDFC Mid Cap Fund - Growth Option - Direct Plan
26-05-2026,223.13500,HDFC Mid Cap Fund - Growth Option - Direct Plan
25-05-2026,222.38100,HDFC Mid Cap Fund - Growth Option - Direct Plan
22-05-2026,220.35900,HDFC Mid Cap Fund - Growth Option - Direct Plan
21-05-2026,220.53400,HDFC Mid Cap Fund - Growth Option - Direct Plan
20-05-2026,220.39100,HDFC Mid Cap Fund - Growth Option - Direct Plan
19-05-2026,219.79900,HDFC Mid Cap Fund - Growth Option - Direct Plan
18-05-2026,217.97800,HDFC Mid Cap Fund - Growth Option - Direct Plan
15-05-2026,218.42300,HDFC Mid Cap Fund - Growth Option - Direct Plan
14-05-2026,218.88900,HDFC Mid Cap Fund - Growth Option - Direct Plan
13-05-2026,216.71300,HDFC Mid Cap Fund - Growth Option - Direct Plan
12-05-2026,216.61600,HDFC Mid Cap Fund - Growth Option - Direct Plan
11-05-2026,221.25500,HDFC Mid Cap Fund - Growth Option - Direct Plan
08-05-2026,223.89500,HDFC Mid Cap Fund - Growth Option - Direct Plan
07-05-2026,223.73800,HDFC Mid Cap Fund - Growth Option - Direct Plan
06-05-2026,222.52500,HDFC Mid Cap Fund - Growth Option - Direct Plan
05-05-2026,218.74500,HDFC Mid Cap Fund - Growth Option - Direct Plan
04-05-2026,218.53100,HDFC Mid Cap Fund - Growth Option - Direct Plan
30-04-2026,217.72000,HDFC Mid Cap Fund - Growth Option - Direct Plan
29-04-2026,219.60600,HDFC Mid Cap Fund - Growth Option - Direct Plan
28-04-2026,220.21700,HDFC Mid Cap Fund - Growth Option - Direct Plan
27-04-2026,220.63800,HDFC Mid Cap Fund - Growth Option - Direct Plan
24-04-2026,218.07400,HDFC Mid Cap Fund - Growth Option - Direct Plan
23-04-2026,220.62500,HDFC Mid Cap Fund - Growth Option - Direct Plan
22-04-2026,221.61400,HDFC Mid Cap Fund - Growth Option - Direct Plan
21-04-2026,221.42400,HDFC Mid Cap Fund - Growth Option - Direct Plan
20-04-2026,219.67400,HDFC Mid Cap Fund - Growth Option - Direct Plan
17-04-2026,220.05800,HDFC Mid Cap Fund - Growth Option - Direct Plan
16-04-2026,218.21400,HDFC Mid Cap Fund - Growth Option - Direct Plan
15-04-2026,217.52000,HDFC Mid Cap Fund - Growth Option - Direct Plan
13-04-2026,213.69200,HDFC Mid Cap Fund - Growth Option - Direct Plan
10-04-2026,215.54800,HDFC Mid Cap Fund - Growth Option - Direct Plan
09-04-2026,212.58000,HDFC Mid Cap Fund - Growth Option - Direct Plan
08-04-2026,212.72700,HDFC Mid Cap Fund - Growth Option - Direct Plan
07-04-2026,205.14000,HDFC Mid Cap Fund - Growth Option - Direct Plan
